club,points,gagnes,joues ,nuls,perdus,buts pour,buts contre
Olympique de Marseille,78,23,38,9,6,69,36
Olympique Lyonnais,72,20,38,12,6,64,38
AJ Auxerre,71,20,38,11,7,42,29
Lille OSC,70,21,38,7,10,72,40
Montpellier HSC,69,20,38,9,9,50,40
FC Girondins de Bordeaux,64,19,38,7,12,58,40
FC Lorient,58,16,38,10,12,54,42
AS Monaco FC,55,15,38,10,13,39,45
Stade Rennais FC,53,14,38,11,13,52,41
Valenciennes FC,52,14,38,10,14,50,50
RC Lens,48,12,38,12,14,40,44
AS Nancy-Lorraine,48,13,38,9,16,46,53
PSG,47,12,38,11,15,50,46
Toulouse FC,47,12,38,11,15,36,36
OGC Nice,44,11,38,11,16,41,57
FC Sochaux,41,11,38,8,19,28,52
AS Saint-Etienne,40,10,38,10,18,27,45
Le Mans UC 72,32,8,38,8,22,36,59
US Boulogne,31,7,38,10,21,31,62
Grenoble Foot 38,23,5,38,8,25,31,61
