"","club","points","joues","gagnes","nuls","perdus","buts.pour","buts.contre"
"1","MONTPELLIER",82,38,25,7,6,68,34
"2","PARIS-SG",79,38,23,10,5,75,41
"3","LILLE",74,38,21,11,6,72,39
"4","LYON",64,38,19,7,12,64,51
"5","BORDEAUX",61,38,16,13,9,53,41
"6","RENNES",60,38,17,9,12,53,44
"7","ST-ETIENNE",57,38,16,9,13,49,44
"8","TOULOUSE",56,38,15,11,12,37,34
"9","CROIX-SAVOIE/ EVIAN ??",50,38,13,11,14,54,55
"10","MARSEILLE",48,38,12,12,14,45,41
"11","NANCY",45,38,11,12,15,38,48
"12","VALENCIENNES",43,38,12,7,19,40,50
"13","NICE",42,38,10,12,16,39,46
"14","SOCHAUX",42,38,11,9,18,40,60
"15","BREST",41,38,8,17,13,31,38
"16","AC-AJACCIO",41,38,9,14,15,40,61
"17","LORIENT",39,38,9,12,17,34,49
"18","CAEN",38,38,9,11,18,39,59
"19","DIJON",36,38,9,9,20,38,63
"20","AUXERRE",34,38,7,13,18,46,57
