club ,points,joues ,gagnes,nuls,perdus,buts pour,buts contre
PARIS-SG,89,38,27,8,3,84,23
MONACO,80,38,23,11,4,63,31
LILLE,71,38,20,11,7,46,26
ST-ETIENNE,69,38,20,9,9,56,34
LYON,61,38,17,10,11,56,44
MARSEILLE,60,38,16,12,10,53,40
BORDEAUX,53,38,13,14,11,49,43
NANTES,49,38,13,10,15,40,43
LORIENT,49,38,13,10,15,48,53
TOULOUSE,49,38,12,13,13,46,53
REIMS,48,38,12,12,14,44,52
RENNES,46,38,11,13,14,47,45
BASTIA,46,38,12,10,16,42,58
CROIX-SAVOIE,44,38,11,11,16,39,51
MONTPELLIER,42,38,8,18,12,45,53
GUINGAMP,42,38,11,9,18,34,42
NICE,42,38,12,6,20,30,44
SOCHAUX,40,38,10,10,18,37,61
VALENCIENNES,29,38,7,8,23,37,65
AC-AJACCIO,23,38,4,11,23,37,72
