"","club","points","gagnes","joues","nuls","perdus","buts.pour","buts.contre"
"1","PARIS-SG",89,27,38,8,3,84,23
"2","MONACO",80,23,38,11,4,63,31
"3","LILLE",71,20,38,11,7,46,26
"4","ST-ETIENNE",69,20,38,9,9,56,34
"5","LYON",61,17,38,10,11,56,44
"6","MARSEILLE",60,16,38,12,10,53,40
"7","BORDEAUX",53,13,38,14,11,49,43
"8","NANTES",49,13,38,10,15,40,43
"9","LORIENT",49,13,38,10,15,48,53
"10","TOULOUSE",49,12,38,13,13,46,53
"11","REIMS",48,12,38,12,14,44,52
"12","RENNES",46,11,38,13,14,47,45
"13","BASTIA",46,12,38,10,16,42,58
"14","CROIX-SAVOIE",44,11,38,11,16,39,51
"15","MONTPELLIER",42,8,38,18,12,45,53
"16","GUINGAMP",42,11,38,9,18,34,42
"17","NICE",42,12,38,6,20,30,44
"18","SOCHAUX",40,10,38,10,18,37,61
"19","VALENCIENNES",29,7,38,8,23,37,65
"20","AC-AJACCIO",23,4,38,11,23,37,72
