"","X.1","club","points2012","joues2012","gagnes2012","nuls2012","perdus2012","marques2012","encaisses2012","X","points2013","gagnes2013","joues2013","nuls2013","perdus2013","marques2013","encaisses2013"
"1",1,"PSG",83,38,25,8,5,69,23,NA,89,27,38,8,3,84,23
"2",2,"AS Monaco FC",0,0,0,0,0,0,0,NA,80,23,38,11,4,63,31
"3",3,"Lille OSC",62,38,16,14,8,59,40,NA,71,20,38,11,7,46,26
"4",4,"AS Saint-Etienne",63,38,16,15,7,60,32,NA,69,20,38,9,9,56,34
"5",5,"Olympique Lyonnais",67,38,19,10,9,61,38,NA,61,17,38,10,11,56,44
"6",6,"Olympique de Marseille",71,38,21,8,9,42,36,NA,60,16,38,12,10,53,40
"7",7,"FC Girondins de Bordeaux",55,38,13,16,9,40,34,NA,53,13,38,14,11,49,43
"8",8,"FC Nantes",0,0,0,0,0,0,0,NA,49,13,38,10,15,40,43
"9",9,"FC Lorient",53,38,14,11,13,57,58,NA,49,13,38,10,15,48,53
"10",10,"Toulouse FC",51,38,13,12,13,49,47,NA,49,12,38,13,13,46,53
"11",11,"Reims",43,38,10,13,15,33,42,NA,48,12,38,12,14,44,52
"12",12,"Bastia",47,38,13,8,17,50,66,NA,46,12,38,13,14,47,45
"13",13,"OGC Nice",64,38,18,10,10,57,46,NA,42,12,38,10,16,42,58
"14",14,"Stade Rennais FC",46,38,13,7,18,48,59,NA,46,11,38,11,16,39,51
"15",15,"Evian",40,38,10,10,18,46,53,NA,44,11,38,18,12,45,53
"16",16,"EA Guingamp",0,0,0,0,0,0,0,NA,42,11,38,9,18,34,42
"17",17,"FC Sochaux",41,38,10,11,17,41,57,NA,40,10,38,6,20,30,44
"18",18,"Montpellier HSC",52,38,15,7,16,54,51,NA,42,8,38,10,18,37,61
"19",19,"Valenciennes FC",48,38,12,12,14,49,53,NA,29,7,38,8,23,37,65
"20",20,"AC Ajaccio",42,38,9,15,14,39,51,NA,23,4,38,11,23,37,72
"21",21,"AS Nancy-Lorraine",38,38,9,11,18,38,58,NA,0,0,0,0,0,0,0
"22",22,"Le Mans UC 72",0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
"23",23,"RC Lens",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"24",24,"Grenoble Foot 38",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"25",25,"AJ Auxerre",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"26",26,"US Boulogne",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"27",27,"Stade Malherbe Caen",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"28",28,"Stade Brestois",29,38,8,5,25,32,62,NA,0,0,0,0,0,0,0
"29",29,"Arles-Avignon",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"30",30,"Dijon",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"31",31,"Troyes",37,38,8,13,17,43,61,NA,0,0,0,0,0,0,0
