;BUDGETX2009;BUDGET(Million);BUDGET(Million);BUDGET(Million);BUDGET(Million);;;;;;RECETTE (millier);RECETTE (millier);RECETTE (millier);RECETTE (millier)
Club;2009;2010;2011;2012;2013;;Latitude;Longitude;date;Stade;2009;2010;2011;2012
Olympique Lyonnais;200;150;150;145;121;;45,8530;4.825953;1950;Stade de Gerland;14.7;NC;NC;NC
Olympique de Marseille;105;140;140;110;125;;43,2710;5.396997;31 ao_t 1899;Stade Velodrome;28.266;29109;29æ871;23æ614
FC Girondins de Bordeaux;81;80;70;75;58;;44,8786;-0.660351;1881;Stade Jacques-Chaban-Delmas;11.842;11046;10æ667;10æ293
PSG;80;80;150;300;400;;48,8421;2.252114;12-ao_t-70;Parc des princes;20659;20478;24æ597;35æ225
AS Monaco FC;50;53;;;130;;43,7376;7.421046;æ23 ao_tæ1924;Stade Louis-II;8809;;;3æ943
Lille OSC;55;55;80;100;75;;50,6004;3.249539;23-sept-44;Stade Pierre-Mauroy;8176;6554;10æ511;20æ058
AS Saint-Etienne;56;55;52;50;49;;45,4536;4.38866;1919;Stade Geoffroy-Guichard;9674;7029;6æ849;7æ450
Stade Rennais FC;48;45;52;50;44;;48,1274;-1.729006;1901;Stade de la route de Lorient;9265;9630;10æ179;10æ179
FC Sochaux;43;40;40;40;40;;47,5134;6.811176;1928;Stade Auguste-Bonal;7285;7429;7æ630;7æ464
AS Nancy-Lorraine;43;40;38;38;;;48,6955;6.210392;1967;Stade Marcel-Picot;4911;4489;4æ825;5æ042
OGC Nice;35;30;35;29;32;;43,6873;7.211103;1904;Allianz Rivera;4277;3458;3æ691;4æ725
Valenciennes FC;30;30;30;30;32;;50,3488;3.527013;1913;Stade du Hainaut;5571;6123;7æ020;6æ117
Le Mans UC 72;36,5;;;;;;47,9592;0.223521;12-juin-85;MMARENA;4926;;;
RC Lens;38;40;;;;;50,4323;2.822495;janv-06;Stade de la Licorne;NC;;;
FC Lorient;30;35;35;35;36;;47,7490;-3.381602;1926æ;Stade du Moustoir;3426;4058;4æ964;4æ860
Grenoble Foot 38;30;;;;;;45,1878;5.741035;1892;Stade des Alpes;4105;;;
AJ Auxerre;30;40;40;;;;47,7867;3.589192;1905;Stade de l'Abbe-Deschamps;4134;4737;;
Montpellier HSC;27;33;33;60;39;;43,6134;3.937419;1919;Stade de la Mosson;5669;6925;7æ013;7æ253
US Boulogne;21;;;;;;50,7236;1.619621;1898;Stade de la Liberation;4187;;;
Toulouse FC;50;40;40;36;32;;43,5833;1.434571;1970;Stadium municipal de Toulouse;8269;6370;6æ269;5æ656
Stade Malherbe Caen;;31;32;;;;49,1804;-0.37286;17-nov-13;Stade Michel-d'Ornano;;5559;;
Stade Brestois;;23,5;27;27;;;48,3908;4.443939;1903;Stade Francis-Le Ble;;6843;7æ513;7æ361
Arles-Avignon;;18;;;;;43,6692;4.633911;æ19 d_cembre 1912;Parc des Sports;;;;
Evian;;;26;28;28;;46,3993;6.503869;2007;Parc des Sports;;6402;7æ908;8æ739
Dijon;;;20;;;;47,3036;5.038572;29-avr-98;Stade Gaston-Gerard;;1736;;
AC Ajaccio;;;16;21;20;;41,9308;8,7770;1910;Stade Francois-Coty;;;1æ417;1æ836
Reims;;;;22;27;;49,2464;4,0250;29-sept-10;Stade Auguste-Delaune;;;2æ793;5æ148
Bastia;;;;20;22;;42,6521;9.44152;1905;Stade Armand-Cesari;;;1æ323;2æ622
Troyes;;;;19;;;48,3075;4.097751;27-juin-86;Stade de l'Aube;;;2æ108;3æ731
FC Nantes;;;;;32;;47,2610;-1,5412;1943;Stade de la Beaujoire;;;;2æ810
EA Guingamp;;;;;22;;48,5569;-3.143348;26-mars-05;Stade de Roudourou;;;;3æ329
