"","Club","X2009","X2010","X2011","X2012","X2013","Classement2009","Classement2010","Classement2011","Classement2012","Classement2013","Affluence2009","Affluence2010","Affluence2011","Affluence2012","Affluence2013","Latitude","Longitude","Date","Stade","X2009.1","X2010.1","X2011.1","X2012.1"
"1","Olympique Lyonnais",200,150,150,145,121,2,3,4,3,5,35766,35482,33346,32044,34414,45.723714,4.832113,"1950","Stade de Gerland",14.7,0,0,0
"2","Olympique de Marseille",105,140,140,110,125,1,2,10,2,6,50044,51086,40444,33589,38129,43.270996,5.396997,"31 aout 1899","Stade Velodrome",28.266,29.109,29.871,23.614
"3","FC Girondins de Bordeaux",81,80,70,75,58,6,7,5,7,7,29267,24281,20713,19410,18833,44.878571,-0.66035,"1881","Stade Jacques-Chaban-Delmas",11.842,11.046,10.667,10.293
"4","PSG",80,80,150,300,400,13,4,2,1,1,35114,29302,43005,43235,45420,48.841436,2.253022,"12/08/70","Parc des princes",20.659,20.478,24.597,35.225
"5","AS Monaco FC",50,53,0,0,130,8,18,0,0,2,7893,6912,0,0,8906,43.727984,7.414979,"23/08/24","Stade Louis-II",8.809,0,0,3.943
"6","Lille OSC",55,55,80,100,75,4,1,3,6,3,14940,16411,16923,40773,38662,50.600353,3.249539,"23-sept-44","Stade Pierre-Mauroy",8.176,6.554,10.511,20.058
"7","AS Saint-Etienne",56,55,52,50,49,17,10,7,5,4,26331,25096,21287,22971,30595,45.453589,4.38866,"1919","Stade Geoffroy-Guichard",9.674,7.029,6.849,7.45
"8","Stade Rennais FC",48,45,52,50,44,9,6,6,13,12,22660,23397,20665,18472,19523,48.127379,-1.729006,"1901","Stade de la route de Lorient",9.265,9.63,10.179,10.179
"9","FC Sochaux",43,40,40,40,40,16,5,14,15,18,13307,12646,14023,13458,14388,47.513432,6.811176,"1928","Stade Auguste-Bonal",7.285,7.429,7.63,7.464
"10","AS Nancy-Lorraine",43,40,38,38,0,12,13,11,18,0,16312,16188,15331,15602,0,48.695457,6.210392,"1967","Stade Marcel-Picot",4.911,4.489,4.825,5.042
"11","OGC Nice",35,30,35,29,32,15,17,13,4,17,9128,8454,9245,10166,24186,43.705019,7.192651,"1904","Allianz Rivera",4.277,3.458,3.691,4.725
"12","Valenciennes FC",30,30,30,30,32,10,12,12,11,19,12122,11663,15373,15465,14364,50.348784,3.526944,"1913","Stade du Hainaut",5.571,6.123,7.02,6.117
"13","Le Mans UC 72",37,0,0,0,0,18,0,0,0,0,9214,0,0,NA,0,47.959189,0.223521,"12/06/85","MMARENA",4.926,0,0,0
"14","RC Lens",38,40,0,0,0,11,19,0,0,0,34196,31456,0,0,0,49.894214,2.263319,"janv-06","Stade de la Licorne",0,0,0,0
"15","FC Lorient",30,35,35,35,36,7,11,17,8,8,12208,15633,15539,15245,15160,47.748979,-3.381602,"1926","Stade du Moustoir",3.426,4.058,4.964,4.86
"16","Grenoble Foot 38",30,0,0,0,0,20,0,0,0,0,13909,0,0,0,NA,45.187809,5.741035,"1892","Stade des Alpes",4.105,0,0,0
"17","AJ Auxerre",30,40,40,0,0,3,9,20,0,0,12337,11295,12312,0,0,47.786748,3.589192,"1905","Stade de l'Abbe-Deschamps",4.134,4.737,0,0
"18","Montpellier HSC",27,33,33,60,39,5,14,1,9,15,18980,16482,17699,17072,14679,43.62167,3.812255,"1919","Stade de la Mosson",5.669,6.925,7.013,7.253
"19","US Boulogne",21,0,0,0,0,19,0,0,0,0,12133,0,0,0,0,50.723622,1.619621,"1898","Stade de la Liberation",4.187,0,0,0
"20","Toulouse FC",50,40,40,36,32,14,8,8,10,9,19228,19880,21236,17752,14993,45.83349,1.434571,"1970","Stadium municipal de Toulouse",8.269,6.37,6.269,5.656
"21","Stade Malherbe Caen",0,31,32,0,0,0,15,18,0,0,0,15992,15249,0,0,49.180364,-0.37286,"17-nov-13","Stade Michel-d'Ornano",0,5.559,0,0
"22","Stade Brestois",0,24,27,27,0,0,16,15,20,0,0,13727,13588,0,0,48.390765,4.443939,"1903","Stade Francis-Le Ble",0,6.843,7.513,7.361
"23","Arles-Avignon",0,18,0,0,0,0,20,0,0,0,0,9207,0,12169,0,43.669222,4.633893,"19/12/12","Parc des Sports",0,0,0,0
"24","Evian",0,0,26,28,28,0,0,9,16,14,0,0,11700,10213,10919,45.915434,6.1202,"2007","Parc des Sports",0,6.402,7.908,8.739
"25","Dijon",0,0,20,0,0,0,0,19,0,0,0,0,13596,0,0,47.303602,5.038572,"29-avr-98","Stade Gaston-Gerard",0,1.736,0,0
"26","AC Ajaccio",0,0,16,21,20,0,0,16,17,20,0,0,6474,6757,6297,41.930856,8.77664,"1910","Stade Francois-Coty",0,0,1.417,1.836
"27","Reims",0,0,0,22,27,0,0,0,14,11,0,0,0,15576,15558,49.247428,4.024944,"29-sept-10","Stade Auguste-Delaune",0,0,2.793,5.148
"28","Bastia",0,0,0,20,22,0,0,0,12,10,0,0,0,14051,13647,42.652088,9.44152,"1905","Stade Armand-Cesari",0,0,1.323,2.622
"29","Troyes",0,0,0,19,0,0,0,0,19,0,0,0,0,13888,0,48.307567,4.097762,"27/06/86","Stade de l'Aube",0,0,2.108,3.731
"30","FC Nantes",0,0,0,0,32,0,0,0,0,13,0,0,0,0,28169,47.261031,-1.541183,"1943","Stade de la Beaujoire",0,0,0,2.81
"31","EA Guingamp",0,0,0,0,22,0,0,0,0,16,0,0,0,0,15001,48.556863,-3.143348,"26/03/05","Stade de Roudourou",0,0,0,3.329
